time,target,value
DEF,1,StationToStationAgent/0/implFeed
DEF,2,StationToStationAgent/0/distanceToTarget
DEF,3,StationToStationAgent/0/force
DEF,4,StationToStationAgent/0/segmentId
DEF,5,StationToStationAgent/0/velocity
DEF,6,StationToStationAgent/0/velocity(target)
DEF,7,StationToStationAgent/0/debug
176,2,45.324383
176,3,-2000000
176,4,27
176,6,3.1727068
176,5,23.186592
176,7,0.058290698
177,2,23.13779
177,3,-2000000
177,4,27
177,6,1.6196454
177,5,21.186592
177,7,0.22011104
178,2,2.9511986
178,3,-2000000
178,4,27
178,6,0.2065839
178,5,19.186594
178,7,0.36734417
179,2,nan
179,3,-2000000
179,4,27
179,6,0
179,5,17.186594
179,7,0.49999008
180,1,"Set goal: station CERN Meyrin, 5439 m away"
180,2,5353.8975
180,3,1000000
180,4,27
180,6,69.44444
180,5,15.186595
180,7,0.6180488
181,2,5338.211
181,3,1000000
181,4,27
181,6,69.44444
181,5,16.186598
181,7,0.7324607
182,2,5321.524
182,3,1000000
182,4,27
182,6,69.44444
182,5,17.186598
182,7,0.8541662
183,2,5303.8374
183,3,1000000
183,4,27
183,6,69.44444
183,5,18.1866
183,7,0.9831653
184,2,5369.889
184,3,1000000
184,4,28
184,6,69.44444
184,5,19.1866
184,7,0.1475513
185,2,5350.2026
185,3,1000000
185,4,28
185,6,69.44444
185,5,20.1866
185,7,0.3249052
186,2,5329.516
186,3,1000000
186,4,28
186,6,69.44444
186,5,21.1866
186,7,0.51126796
187,2,5307.829
187,3,1000000
187,4,28
187,6,69.44444
187,5,22.1866
187,7,0.7066396
188,2,5285.1426
188,3,1000000
188,4,28
188,6,69.44444
188,5,23.1866
188,7,0.91102004
189,2,5261.4565
189,3,1000000
189,4,29
189,6,69.44444
189,5,24.1866
189,7,0.11963159
190,2,5236.77
190,3,1000000
190,4,29
190,6,69.44444
190,5,25.1866
190,7,0.33348885
191,2,5211.083
191,3,1000000
191,4,29
191,6,69.44444
191,5,26.1866
191,7,0.556009
192,2,5184.3965
192,3,1000000
192,4,29
192,6,69.44444
192,5,27.1866
192,7,0.78719205
193,2,5156.71
193,3,1000000
193,4,30
193,6,69.44444
193,5,28.186602
193,7,0.025907082
194,2,5128.0234
194,3,1000000
194,4,30
194,6,69.44444
194,5,29.186602
194,7,0.2640217
195,2,5098.337
195,3,1000000
195,4,30
195,6,69.44444
195,5,30.186602
195,7,0.51043683
196,2,5067.65
196,3,1000000
196,4,30
196,6,69.44444
196,5,31.186602
196,7,0.7651525
197,2,5035.9634
197,3,1000000
197,4,31
197,6,69.44444
197,5,32.186596
197,7,0.040056627
198,2,5003.277
198,3,1000000
198,4,31
198,6,69.44444
198,5,33.186596
198,7,0.4258754
199,2,4969.5903
199,3,1000000
199,4,31
199,6,69.44444
199,5,34.186592
199,7,0.8234977
200,2,4934.904
200,3,1000000
200,4,18
200,6,69.44444
200,5,35.186596
200,7,0.974113
201,2,4899.2173
201,3,1000000
201,4,18
201,6,69.44444
201,5,36.186596
201,7,0.9272978
202,2,4862.531
202,3,1000000
202,4,18
202,6,69.44444
202,5,37.186596
202,7,0.8791707
203,2,4824.844
203,3,1000000
203,4,18
203,6,69.44444
203,5,38.1866
203,7,0.8297318
204,2,4786.1577
204,3,1000000
204,4,18
204,6,69.44444
204,5,39.186604
204,7,0.7789811
205,2,4746.4707
205,3,1000000
205,4,18
205,6,69.44444
205,5,40.186607
205,7,0.7269185
206,2,4705.784
206,3,1000000
206,4,18
206,6,69.44444
206,5,41.18661
206,7,0.6735441
207,2,4664.0977
207,3,1000000
207,4,18
207,6,69.44444
207,5,42.186615
207,7,0.6188578
208,2,4621.411
208,3,1000000
208,4,18
208,6,69.44444
208,5,43.18662
208,7,0.56285965
209,2,4577.7246
209,3,1000000
209,4,18
209,6,69.44444
209,5,44.186623
209,7,0.50554967
210,2,4533.038
210,3,1000000
210,4,18
210,6,69.44444
210,5,45.186626
210,7,0.44692785
211,2,4487.351
211,3,1000000
211,4,18
211,6,69.44444
211,5,46.186626
211,7,0.38699415
212,2,4440.6646
212,3,1000000
212,4,18
212,6,69.44444
212,5,47.18663
212,7,0.32574862
213,2,4392.978
213,3,1000000
213,4,18
213,6,69.44444
213,5,48.186634
213,7,0.26319125
214,2,4344.2915
214,3,1000000
214,4,18
214,6,69.44444
214,5,49.186638
214,7,0.19932203
215,2,4294.6045
215,3,1000000
215,4,18
215,6,69.44444
215,5,50.186638
